127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.datepicker.css HTTP/1.1" 200 3702
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.core.css HTTP/1.1" 200 1468
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.menu.css HTTP/1.1" 200 1454
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.dialog.css HTTP/1.1" 200 1304
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/ui/jquery.ui.button.js HTTP/1.1" 200 11815
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.progressbar.css HTTP/1.1" 200 618
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/ui/jquery.ui.core.js HTTP/1.1" 200 8198
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/ui/jquery.ui.widget.js HTTP/1.1" 200 15069
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.tooltip.css HTTP/1.1" 200 375
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.slider.css HTTP/1.1" 200 1314
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.spinner.css HTTP/1.1" 200 1182
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.selectable.css HTTP/1.1" 200 328
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.tabs.css HTTP/1.1" 200 1322
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/themes/base/jquery.ui.resizable.css HTTP/1.1" 200 1207
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /jquery-ui/ui/jquery.ui.tabs.js HTTP/1.1" 200 21968
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /sysadm/images/allbg.gif HTTP/1.1" 404 492
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /sysadm/images/newlinebg3.gif HTTP/1.1" 404 492
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /sysadm/images/tbg.gif HTTP/1.1" 404 492
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /sysadm/css/allbtbg2.gif HTTP/1.1" 404 492
127.0.0.1 - - [22/May/2013:09:08:27 +0800] "GET /sysadm/images/untitled.png HTTP/1.1" 200 1334
