127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /sysadm/images/icon_edit.gif HTTP/1.1" 200 581
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /sysadm/images/level_1.gif HTTP/1.1" 200 142
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /sysadm/images/order.gif HTTP/1.1" 200 150
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /sysadm/images/icon_trash.gif HTTP/1.1" 200 1025
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /userfiles/dbpictures/gift/2013/7/18/b_1374135015390.jpg HTTP/1.1" 200 63134
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /userfiles/dbpictures/gift/2013/7/18/b_1374135739031.jpg HTTP/1.1" 200 121436
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/My97DatePicker.htm HTTP/1.1" 200 1389
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/config.js HTTP/1.1" 200 223
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/calendar.js HTTP/1.1" 200 21639
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/lhgdialog/skins/igreen/igreen_s2.png HTTP/1.1" 200 265
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/lhgdialog/skins/igreen/igreen_s.png HTTP/1.1" 200 1420
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/lhgdialog/skins/icons/loading.gif HTTP/1.1" 200 6666
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/lang/zh-cn.js HTTP/1.1" 200 1089
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/skin/default/datepicker.css HTTP/1.1" 200 3726
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/skin/whyGreen/datepicker.css HTTP/1.1" 200 3933
127.0.0.1 - - [19/Jul/2013:09:19:26 +0800] "GET /js/My97DatePicker/skin/default/img.gif HTTP/1.1" 200 1578
127.0.0.1 - - [19/Jul/2013:09:19:29 +0800] "GET /sysadm/type/typeEdit.do?item=gift HTTP/1.1" 200 10434
127.0.0.1 - - [19/Jul/2013:09:19:46 +0800] "GET /sysadm/extend/vote/voteList.do HTTP/1.1" 200 10570
127.0.0.1 - - [19/Jul/2013:09:19:46 +0800] "GET /sysadm/images/newlinebg3.gif HTTP/1.1" 404 492
127.0.0.1 - - [19/Jul/2013:09:19:46 +0800] "GET /sysadm/images/tbg.gif HTTP/1.1" 404 492
127.0.0.1 - - [19/Jul/2013:09:19:46 +0800] "GET /sysadm/css/allbtbg2.gif HTTP/1.1" 404 492
127.0.0.1 - - [19/Jul/2013:09:19:46 +0800] "GET /sysadm/images/edit.gif HTTP/1.1" 200 581
127.0.0.1 - - [19/Jul/2013:09:19:46 +0800] "GET /sysadm/images/del.gif HTTP/1.1" 200 579
127.0.0.1 - - [19/Jul/2013:09:19:48 +0800] "GET /sysadm/extend/vote/voteTypeList.do HTTP/1.1" 200 4960
127.0.0.1 - - [19/Jul/2013:09:19:48 +0800] "GET /sysadm/images/newlinebg3.gif HTTP/1.1" 404 492
127.0.0.1 - - [19/Jul/2013:09:19:48 +0800] "GET /sysadm/images/tbg.gif HTTP/1.1" 404 492
