7834545 DEBUG [2015-06-16 17:46:04]  result row: EntityKey[com.tisson.dao.entity.product.Brand#182]
7834546 DEBUG [2015-06-16 17:46:04]  about to close ResultSet (open ResultSets: 1, globally: 1)
7834546 DEBUG [2015-06-16 17:46:04]  about to close PreparedStatement (open PreparedStatements: 1, globally: 1)
7834546 DEBUG [2015-06-16 17:46:04]  aggressively releasing JDBC connection
7834546 DEBUG [2015-06-16 17:46:04]  releasing JDBC connection [ (open PreparedStatements: 0, globally: 0) (open ResultSets: 0, globally: 0)]
7834546 DEBUG [2015-06-16 17:46:04]  000522 (00/03/00) - Connection #9 returned (now AVAILABLE)
7834546 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#55]
7834546 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#55]
7834546 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#56]
7834546 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#56]
7834546 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#57]
7834546 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#57]
7834546 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#58]
7834546 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#58]
7834546 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#60]
7834546 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#60]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#59]
7834547 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#59]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#166]
7834547 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#166]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#167]
7834547 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#167]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#168]
7834547 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#168]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#169]
7834547 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#169]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#67]
7834547 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#67]
7834547 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#170]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#170]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#171]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#171]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#73]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#73]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#172]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#172]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#76]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#76]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#77]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#77]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#78]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#78]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#79]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#79]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#173]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#173]
7834548 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#81]
7834548 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#81]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#82]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#82]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#158]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#158]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#84]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#84]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#85]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#85]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#174]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#174]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#87]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#87]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#88]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#88]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#176]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#176]
7834549 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#91]
7834549 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#91]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#92]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#92]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#93]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#93]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#94]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#94]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#177]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#177]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#96]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#96]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#97]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#97]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#98]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#98]
7834550 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#102]
7834550 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#102]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#160]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#160]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#157]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#157]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#105]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#105]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#106]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#106]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#110]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#110]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#112]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#112]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#113]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#113]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#159]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#159]
7834551 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#175]
7834551 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#175]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#116]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#116]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#153]
7834552 DEBUG [2015-06-16 17:46:04]  done materializing entity [com.tisson.dao.entity.product.Brand#153]
7834552 DEBUG [2015-06-16 17:46:04]  resolving associations for [com.tisson.dao.entity.product.Brand#154]
